type,date,maxUsage,meanUsage
thor,1687205926324,32,20.65
thor,1686687300246,32,20.65
thor,1686625616044,32,20.65
thor,1686611216047,32,20.65
thor,1686596815764,32,20.65
thor,1686358414213,32,20.65
thor,1686344013757,32,20.65
thor,1686329613854,32,20.65
thor,1686260398257,32,20.65
thor,1686181827030,32,20.65
thor,1686167426108,32,20.65
hthor,1687205926324,18,18
hthor,1686687300246,18,18
hthor,1686625616044,18,18
hthor,1686611216047,18,18
hthor,1686596815764,18,18
hthor,1686358414213,18,18
hthor,1686344013757,18,18
hthor,1686329613854,18,18
hthor,1686260398257,18,18
hthor,1686181827030,18,18
hthor,1686167426108,18,18
roxie,1687205926324,18,13
roxie,1686687300246,18,13
roxie,1686625616044,18,13
roxie,1686611216047,18,13
roxie,1686596815764,18,13
roxie,1686358414213,18,13
roxie,1686344013757,18,13
roxie,1686329613854,18,13
roxie,1686260398257,18,13
roxie,1686181827030,18,13
roxie,1686167426108,18,13
